name;soilsoiltype;soilgamdry;soilgamwet;soilphi;soilcohesion;soilcolor
BClay, clean, moderate;3;18;18;20;8;10871211
BClay, clean, modstiff;3;19;19;20;15;12837291
BClay, clean, stiff;3;19;19;20;15;11526571
BClay, clean, weak;3;17;17;20;4;12181931
BClay, sl san, moderate;3;18;18;22;8;11527851
BClay, sl san, modstiff;3;19;19;22;15;13493931
BClay, sl san, stiff;3;19;19;22;15;12183211
BClay, sl san, weak;3;17;17;22;4;12838571
BGravel, clean, moderate;0;19;21;40;0;9205895
BGravel, clean, stiff;0;19;21;40;0;9861255
BGravel, ve sil, moderate;0;20;22;37;0;8549255
BGravel, ve sil, stiff;0;20;22;37;0;9204615
BLoam, clean, moderate;2;19;19;22;4;10850182
BLoam, clean, modstiff;2;20;20;22;8;12816262
BLoam, clean, stiff;2;20;20;22;8;11505542
BLoam, clean, weak;2;18;18;22;2;12160902
BLoam, sl san, moderate;2;19;19;25;4;11506822
BLoam, sl san, modstiff;2;20;20;25;8;13472902
BLoam, sl san, stiff;2;20;20;25;8;12162182
BLoam, sl san, weak;2;18;18;25;2;12817542
BPeat, sl san, moderate;4;14;14;15;10;3418799
BPeat, sl san, stiff;4;14;14;15;10;4074159
BPeat, sl san, weak;4;12;12;15;5;4729519
BSand, clean, loose;1;17;19;30;0;1368569
BSand, clean, moderate;1;18;20;35;0;2023929
BSand, clean, stiff;1;18;20;35;0;2679289
BSand, ve sil, loose;1;17;19;27;0;711929
BSand, ve sil, moderate;1;18;20;30;0;1367289
BSand, ve sil, stiff;1;18;20;30;0;2022649
Clay, clean, moderate;3;19;19;17.5;13;10871201
Clay, clean, stiff;3;20;20;25;15;11526561
Clay, clean, weak;3;17;17;17.5;5;12181921
Clay, organ, moderate;3;16;16;15;1;12841121
Clay, organ, weak;3;15;15;15;1;14151841
Clay, sl san, moderate;3;20;20;22.5;13;11527841
Clay, sl san, stiff;3;21;21;27.5;15;12183201
Clay, sl san, weak;3;18;18;22.5;5;12838561
Clay, ve san, stiff;3;20;20;32.5;1;12839841
Gravel, sl sil, loose;0;18;20;35;0;7237245
Gravel, sl sil, moderate;0;19;21;37.5;0;7892605
Gravel, sl sil, stiff;0;20;22;40;0;8547965
Gravel, ve sil, loose;0;19;21;32.5;0;7893885
Gravel, ve sil, moderate;0;20;22;35;0;8549245
Gravel, ve sil, stiff;0;21;22.5;40;0;9204605
Loam, sl san, moderate;2;21;21;32.5;2.5;11506812
Loam, sl san, stiff;2;22;22;35;3.8;12162172
Loam, sl san, weak;2;20;20;30;1;12817532
Loam, ve san, stiff;2;20;20;35;1;12818812
Peat, mod pl, moderate;4;13;13;15;5;6045349
Peat, not pl, weak;4;12;12;15;2.5;6699429
Sand, clean, loose;1;18;20;32.5;0;1368559
Sand, clean, moderate;1;19;21;35;0;2023919
Sand, clean, stiff;1;20;22;40;0;2679279
Sand, sl sil, moderate;1;19;21;32.5;0;710639
Sand, ve sil, loose;1;19;21;30;0;711919
Undetermined;2;0.01;0.02;0;0;16777215
